split_id,bin,bin_left,bin_right,n,mean_pred,frac_pos
39,2,0.2,0.30000000000000004,0,,
39,3,0.30000000000000004,0.4,0,,
39,4,0.4,0.5,0,,
39,5,0.5,0.6000000000000001,0,,
39,6,0.6000000000000001,0.7000000000000001,0,,
39,7,0.7000000000000001,0.8,0,,
39,8,0.8,0.9,1,0.8739070372919868,1.0
39,9,0.9,1.0,6,0.9781471646040522,1.0
40,0,0.0,0.1,6,0.04272339226832436,0.0
40,1,0.1,0.2,0,,
40,2,0.2,0.30000000000000004,0,,
40,3,0.30000000000000004,0.4,0,,
40,4,0.4,0.5,0,,
40,5,0.5,0.6000000000000001,1,0.5175192503264128,1.0
40,6,0.6000000000000001,0.7000000000000001,1,0.6085123323167613,1.0
40,7,0.7000000000000001,0.8,0,,
40,8,0.8,0.9,0,,
40,9,0.9,1.0,6,0.9643402999312407,1.0
41,0,0.0,0.1,6,0.02269088469735712,0.0
41,1,0.1,0.2,1,0.17709168057073643,0.0
41,2,0.2,0.30000000000000004,0,,
41,3,0.30000000000000004,0.4,0,,
41,4,0.4,0.5,0,,
41,5,0.5,0.6000000000000001,0,,
41,6,0.6000000000000001,0.7000000000000001,0,,
41,7,0.7000000000000001,0.8,0,,
41,8,0.8,0.9,1,0.8793132467572916,1.0
41,9,0.9,1.0,6,0.9803765241855761,1.0
42,0,0.0,0.1,4,0.041671980253929944,0.0
42,1,0.1,0.2,0,,
42,2,0.2,0.30000000000000004,0,,
42,3,0.30000000000000004,0.4,0,,
42,4,0.4,0.5,0,,
42,5,0.5,0.6000000000000001,0,,
42,6,0.6000000000000001,0.7000000000000001,0,,
42,7,0.7000000000000001,0.8,1,0.7158085298631464,1.0
42,8,0.8,0.9,1,0.8264426465270096,1.0
42,9,0.9,1.0,8,0.9767858030411068,1.0
43,0,0.0,0.1,1,0.015339512035860748,0.0
43,1,0.1,0.2,3,0.1128006360461722,0.0
43,2,0.2,0.30000000000000004,0,,
43,3,0.30000000000000004,0.4,1,0.32912884101206263,1.0
43,4,0.4,0.5,1,0.4820287706668782,1.0
43,5,0.5,0.6000000000000001,0,,
43,6,0.6000000000000001,0.7000000000000001,0,,
43,7,0.7000000000000001,0.8,0,,
43,8,0.8,0.9,3,0.8351257306318861,1.0
43,9,0.9,1.0,5,0.9757864446117775,1.0
44,0,0.0,0.1,8,0.019481584791100612,0.125
44,1,0.1,0.2,1,0.14547775173537641,0.0
44,2,0.2,0.30000000000000004,0,,
44,3,0.30000000000000004,0.4,0,,
44,4,0.4,0.5,1,0.4253764493699956,1.0
44,5,0.5,0.6000000000000001,0,,
44,6,0.6000000000000001,0.7000000000000001,0,,
44,7,0.7000000000000001,0.8,0,,
44,8,0.8,0.9,0,,
44,9,0.9,1.0,4,0.9726534996171337,1.0
45,0,0.0,0.1,4,0.02659608780893997,0.0
45,1,0.1,0.2,2,0.14497038215363853,0.5
45,2,0.2,0.30000000000000004,0,,
45,3,0.30000000000000004,0.4,0,,
45,4,0.4,0.5,1,0.44883629469599384,1.0
45,5,0.5,0.6000000000000001,0,,
45,6,0.6000000000000001,0.7000000000000001,0,,
45,7,0.7000000000000001,0.8,0,,
45,8,0.8,0.9,1,0.8616479656420075,1.0
45,9,0.9,1.0,6,0.9555315409649402,1.0
